label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
emmisionNorm,TXP,"The standards set up by the Indian government which specify the amount of air pollutants from internal combustion engines, including those that vehicles can emit.",AgriMachinery,"Text, ValueDescriptor",,,0,0,
modelInfo,SP,The make/model information of the vehicle corresponding to this observation.,AgriMachinery,ModelDesc,,,0,0,
licensePlate,TXP,The vehicle registration number corresponding to this observation.,AgriMachinery,"Text, ValueDescriptor",,,0,0,
issualDate,TP,The date of issual of license or a service such as insurance corresponding to this observation.,"CropInsurance,
AgriMachinery","Text, ValueDescriptor",,,1,0,
expiryDate,TP,The date of issual of license or a service such as insurance corresponding to this observation.,"CropInsurance,
AgriMachinery","Text, ValueDescriptor",,,1,0,
registrationDate,TP,"The date on which a particular item or entity becomes officially recognized, authorized or approved according to the relevant regulations, procedures or requirements.",AgriMachinery,"Text, ValueDescriptor",,,0,0,
leasingEntity,SP,The information about the entity which leases the vehicle/machinery for agricultural purposes.,AgriMachinery,PersonnelDesc,,,0,0,
productType,TXP,The type of agricultural product corresponding to this observation.,AgriMachinery,"Text, ValueDescriptor",,machinery type,0,0,
registeringAuthority,TXP,The name of the entity authorised to collect and/or verify user details for the issual of a digital certificate.,AgriMachinery,"Text, ValueDescriptor",,,0,0,
personnelInfo,SP,Personnel information of an individual or business corresponding to this observation.,"Farmer,
AgriMachinery",PersonnelDesc,,,1,0,
insuranceInfo,SP,The information about the insurance for the product or equipment corresponding to this observation.,"AgriMachinery,
TransportCost,
ExportTransaction",CropInsurance,,,1,0,
subsidyAmount,QP,The amount of government subsidy for a product corresponding to this observation for the welfare of the people.,"OtherAgroChemical,
AgriMachinery","Number, ValueDescriptor",,,1,0,
ownershipType,TXP,"The type of ownership of the entity corresponding to this observation. ENUM: [Lease, Rent, Own]","LandParcel, AgriMachinery","Text, ValueDescriptor",,,1,0,
vehicleID,TXP,The unique ID or code of the vehicle corresponding to this observation,AgriMachinery,"Text, ValueDescriptor",,,0,0,
purposeDescription,TXP,Describes the purpose of the entity or service corresponding to this observation.,"Device,
OtherAgroChemical,
AgriMachinery","Text, ValueDescriptor",,consentDescription,1,0,
hsCode,TXP,The Harmonized System (HS) code provided by the FAO (Food and Agricultural Organization) for the entity corresponding to this observation.,AgriMachinery,"Text, ValueDescriptor",,,0,0,
capitalInfo,SP,The income and expenditure information corresponding to the entity.,"LandParcel,
Farmer,
TransportCost,
AgriMachinery",CapitalDesc,,,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
AgriAdvisory, AgriMachinery",LocaleDesc,,,1,0,
deviceInfo,SP,The information of the device/sensor used in/for the entity/ service  corresponding to this observation.,AgriMachinery,Device,,,0,0,
leasePeriod,TXP,The duration or tenure of the lease for a entity corresponding to this observation.,"AgriMachinery,
LandParcel","Text, ValueDescriptor",,,1,0,
registrationNumber,TXP,The registration number of the entity corresponding to this observation.,"IdentityDesc,
AgriMachinery","Text, ValueDescriptor",,,1,0,
productName,TXP,Name of the product corresponding to this observation.,"OtherAgroChemical,
AgriBusiness, AgriMachinery","Text, ValueDescriptor",,,1,0,
certificateInfo,SP,"Date of issual, expiry/validity, renewal of the document/certificate corresponding to this observation.","OtherAgroChemical, AgriMachinery",CertificateDesc,,,1,0,
ownerInfo,SP,Details of the person who owns the entity corresponding to this observation.,"AgriMachinery, 
LandParcel",PersonnelDesc,,,1,0,
lessorInfo,SP,Details of the person who leases the entity corresponding to this observation.,"AgriMachinery, 
LandParcel",PersonnelDesc,,,1,0,