label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchema,Reference Link 
cropNameCommon,TXP,The common/local name of the crop species corresponding to the observation.,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,
cropNameICC,TXP,The name of the crop as given by the ICC (International Crop Classification) of FAO (Food and Agicultural Organisation).,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,https://www.fao.org/statistics/caliper/web/media/86
cropNameBotanical,TXP,The botanical nomenclature of the crop species corresponding to this observation.,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,
cropCode,TXP,The unique code for the crop species corresponding to this observation.,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,
cropCodeICC,TXP,The unique code assigned for the crop species as per the ICC (International Crop Classification) of FAO (Food and Agicultural Organisation).,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,
seedVarietyCode,TXP,The code assigned to the seed variety corresponding to this observation.,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,
seedVarietyName,TXP,The name of the seed variety corresponding to this observation.,"CropCondition, Seed","Text, ValueDescriptor",,,1,0,
seedGrowerInfo,SP,The personal details of the seed grower.,Seed,PersonnelDesc,,,0,0,
agronomicTraits,TXP,"The specific characteristics of crops that impact their yield, quality, and ability to resist biotic and abiotic stresses. These traits include plant height, tillering capacity, root length and mass, grain size and weight, etc.",Seed,"Text, ValueDescriptor",,,0,0,
season,TXP,"Represents specific time of the year that has distinct weather patterns and conditions, such as summer, autumn (fall), etc.","Weather, Seed","Text, ValueDescriptor",,,1,0,
certificateInfo,SP,"Date of issual, expiry/validity, renewal of the document/certificate corresponding to this observation.","OtherAgroChemical, FarmerCollective, CropCondition, Seed",CertificateDesc,,,1,0,
localeInfo,SP,Locale information corresponding to this observation.,"LandParcel,
CropCondition, Seed",LocaleDesc,,,1,0,
landIdentityInfo,SP,The unique land identification information corresponding to this observation.,"LandParcel,
CropCondition,
SoilHealth,Seed",LandIdentityDesc,,,1,0,